"","Company","Product","TypeName","Inches","ScreenResolution","Cpu","Ram","Memory","Gpu","OpSys","Weight","Price_euros"
"1041","Lenovo","Yoga 500-15ISK","2 in 1 Convertible",15.6,"IPS Panel Full HD / Touchscreen 1920x1080","Intel Core i7 6500U 2.5GHz","4GB","256GB SSD","Intel HD Graphics 520","Windows 10","1.8kg",847
"1042","Vero","V142 (X5-Z8350/2GB/32GB/W10)","Notebook",14,"1366x768","Intel Atom X5-Z8350 1.44GHz","2GB","32GB Flash Storage","Intel HD Graphics 400","Windows 10","1.45kg",210.8
"1043","Toshiba","Tecra A50-C-218","Notebook",15.6,"IPS Panel Full HD 1920x1080","Intel Core i7 6500U 2.5GHz","16GB","256GB SSD","Nvidia GeForce 930M","Windows 10","2.4kg",1425
"1044","Lenovo","Thinkpad L560","Notebook",15.6,"Full HD 1920x1080","Intel Core i5 6200U 2.3GHz","8GB","256GB SSD","Intel HD Graphics 520","Windows 10","2.3kg",1049.6
"1045","HP","EliteBook 840","Notebook",14,"Full HD 1920x1080","Intel Core i5 6200U 2.3GHz","4GB","500GB HDD","Intel HD Graphics 520","Windows 10","1.54kg",1000
"1046","HP","EliteBook 850","Notebook",15.6,"Full HD 1920x1080","Intel Core i5 6300U 2.4GHz","8GB","256GB SSD +  500GB HDD","Intel HD Graphics 520","Windows 10","1.84kg",2103.34
"1047","HP","EliteBook 1040","Notebook",14,"Full HD 1920x1080","Intel Core i5 6200U 2.3GHz","8GB","256GB SSD","Intel HD Graphics 520","Windows 7","1.43kg",1469
"1048","MSI","GT72S Dominator","Gaming",17.3,"IPS Panel Full HD 1920x1080","Intel Core i7 6820HK 2.7GHz","16GB","256GB SSD +  1TB HDD","Nvidia GeForce GTX 980M","Windows 10","3.78kg",1545.64
"1049","Lenovo","IdeaPad Y900-17ISK","Gaming",17.3,"IPS Panel Full HD 1920x1080","Intel Core i7 6700HQ 2.6GHz","16GB","128GB SSD +  1TB HDD","Nvidia GeForce GTX 980M","Windows 10","4.6kg",2289.99
"1050","Asus","Chromebook C202SA","Netbook",11.6,"1366x768","Intel Celeron Dual Core N3060 1.6GHz","4GB","16GB Flash Storage","Intel HD Graphics 400","Chrome OS","1.2kg",287.9
"1051","Lenovo","ThinkPad X1","Notebook",14,"IPS Panel 2560x1440","Intel Core i7 6600U 2.6GHz","16GB","256GB SSD","Intel HD Graphics 520","Windows 7","1.1kg",2620
"1052","HP","Noteb Pav","Notebook",15.6,"IPS Panel Full HD 1920x1080","Intel Core i7 7500U 2.7GHz","8GB","1TB HDD","Nvidia GeForce 940MX","Windows 10","1.91kg",979
"1053","Dell","Inspiron 5578","2 in 1 Convertible",15.6,"IPS Panel Full HD / Touchscreen 1920x1080","Intel Core i5 7200U 2.7GHz","8GB","256GB SSD","Intel HD Graphics 620","Windows 10","2.3kg",1094
"1054","HP","ProBook 450","Notebook",15.6,"1366x768","Intel Core i5 7200U 2.5GHz","4GB","256GB SSD","Intel HD Graphics 620","Windows 10","2.04kg",979
"1055","Dell","XPS 13","Ultrabook",13.3,"Quad HD+ / Touchscreen 3200x1800","Intel Core i7 7500U 2.7GHz","16GB","1TB SSD","Intel HD Graphics 620","Windows 10","1.2kg",2254
"1056","HP","ProBook 650","Notebook",15.6,"1366x768","Intel Core i3 6100U 2.3GHz","4GB","500GB HDD","Intel HD Graphics 520","Windows 10","2.31kg",705.15
"1057","HP","250 G5","Notebook",15.6,"1366x768","Intel Core i5 7200U 2.5GHz","4GB","500GB HDD","Intel HD Graphics 620","No OS","1.96kg",499
"1058","Acer","Aspire ES1-523","Notebook",15.6,"1366x768","AMD A8-Series 7410 2.2GHz","8GB","1TB HDD","AMD Radeon R5","Windows 10","2.4kg",449
"1059","Dell","Inspiron 7378","2 in 1 Convertible",13.3,"IPS Panel Full HD / Touchscreen 1920x1080","Intel Core i7 7500U 2.7GHz","12GB","256GB SSD","Intel HD Graphics 620","Windows 10","1.6kg",1299
"1060","MSI","GT62VR 6RD","Gaming",15.6,"Full HD 1920x1080","Intel Core i7 6700HQ 2.6GHz","16GB","256GB SSD +  1TB HDD","Nvidia GeForce GTX 1060","Windows 10","2.94kg",1819
"1061","HP","ProBook 450","Notebook",15.6,"Full HD 1920x1080","Intel Core i7 7500U 2.7GHz","8GB","256GB SSD","Intel HD Graphics 620","Windows 10","2.04kg",1070
"1062","Asus","Rog G752VL-GC088D","Gaming",17.3,"IPS Panel Full HD 1920x1080","Intel Core i7 6700HQ 2.6GHz","16GB","1TB HDD","Nvidia GeForce GTX 965M","No OS","4kg",998
"1063","Dell","Inspiron 3567","Notebook",15.6,"Full HD 1920x1080","Intel Core i5 7200U 2.5GHz","4GB","1TB HDD","Intel HD Graphics","Windows 10","2.25kg",559
"1064","Dell","Inspiron 5567","Notebook",15.6,"Full HD 1920x1080","Intel Core i7 7500U 2.7GHz","16GB","2TB HDD","AMD Radeon R7 M445","Windows 10","2.32kg",989.99
"1065","MSI","GS63VR 6RF","Gaming",15.6,"Full HD 1920x1080","Intel Core i7 6700HQ 2.6GHz","16GB","256GB SSD +  1TB HDD","Nvidia GeForce GTX 1060","Windows 10","1.8kg",1929
"1066","Dell","XPS 13","Ultrabook",13.3,"Full HD 1920x1080","Intel Core i7 7500U 2.7GHz","8GB","256GB SSD","Intel HD Graphics 620","Windows 10","1.29kg",1458
"1067","Asus","ROG G701VO","Gaming",17.3,"IPS Panel Full HD 1920x1080","Intel Core i7 6820HK 2.7GHz","64GB","1TB SSD","Nvidia GeForce GTX 980 ","Windows 10","3.58kg",3975
"1068","Dell","Inspiron 5368","2 in 1 Convertible",13.3,"Full HD / Touchscreen 1920x1080","Intel Core i7 6500U 2.5GHz","8GB","256GB SSD","Intel HD Graphics 520","Windows 10","1.62kg",798.01
"1069","Dell","Alienware 15","Gaming",15.6,"4K Ultra HD 3840x2160","Intel Core i7 6700HQ 2.6GHz","16GB","256GB SSD +  1TB HDD","Nvidia GeForce GTX 970M","Windows 10","3.21kg",1329
"1070","Apple","MacBook 12""","Ultrabook",12,"IPS Panel Retina Display 2304x1440","Intel Core M 1.1GHz","8GB","256GB Flash Storage","Intel HD Graphics 515","Mac OS X","0.920kg",1300
"1071","Dell","Latitude 3570","Notebook",15.6,"1366x768","Intel Core i3 6100U 2.3GHz","4GB","500GB HDD","Intel HD Graphics 520","Windows 10","2.06kg",481.98
"1072","HP","ProBook 650","Notebook",15.6,"1366x768","Intel Core i5 6200U 2.3GHz","4GB","500GB HDD","Intel HD Graphics 520","Windows 10","2.31kg",1199
"1073","HP","EliteBook 820","Ultrabook",12.5,"Full HD 1920x1080","Intel Core i5 6200U 2.3GHz","8GB","256GB SSD","Intel HD Graphics 520","Windows 7","1.26kg",1199
"1074","HP","ProBook 430","Notebook",13.3,"Full HD 1920x1080","Intel Core i7 7500U 2.7GHz","8GB","256GB SSD","Intel HD Graphics 620","Windows 10","1.49kg",1090
"1075","Lenovo","ThinkPad Yoga","Ultrabook",12.5,"IPS Panel Full HD / Touchscreen 1920x1080","Intel Core i7 6500U 2.5GHz","8GB","256GB SSD","Intel HD Graphics 520","Windows 10","1.3kg",1713.49
"1076","Lenovo","IdeaPad 300-17ISK","Notebook",17.3,"1600x900","Intel Core i5 6200U 2.3GHz","8GB","1.0TB HDD","AMD Radeon R5 M330","Windows 10","3.0kg",659
"1077","Lenovo","Ideapad 700-15ISK","Notebook",15.6,"IPS Panel Full HD 1920x1080","Intel Core i5 6300HQ 2.3GHz","4GB","1TB HDD","Nvidia GeForce GTX 950M","Windows 10","2.3kg",977
"1078","MSI","GT72VR Dominator","Gaming",17.3,"Full HD 1920x1080","Intel Core i7 7700HQ 2.8GHz","16GB","256GB SSD +  1TB HDD","Nvidia GeForce GTX 1070","Windows 10","3.78kg",2499
"1079","Lenovo","V110-15ISK (i5-6200U/4GB/500GB/W10)","Notebook",15.6,"1366x768","Intel Core i5 6200U 2.3GHz","4GB","500GB HDD","Intel HD Graphics 520","Windows 10","2.1kg",540
"1080","HP","Probook 650","Notebook",15.6,"Full HD 1920x1080","Intel Core i5 6200U 2.3GHz","4GB","500GB HDD","Intel HD Graphics 520","Windows 7","2.31kg",940
"1081","Lenovo","Yoga 900S-12ISK","Ultrabook",12.5,"IPS Panel Touchscreen 2560x1440","Intel Core M 6Y75 1.2GHz","8GB","512GB SSD","Intel HD Graphics 515","Windows 10","0.99kg",1399
"1082","Lenovo","IdeaPad Y900-17ISK","Gaming",17.3,"IPS Panel Full HD 1920x1080","Intel Core i7 6820HK 2.7GHz","32GB","512GB SSD +  1.0TB Hybrid","Nvidia GeForce GTX 980M","Windows 10","4.6kg",3240
"1083","Lenovo","Yoga Book","2 in 1 Convertible",10.1,"IPS Panel Touchscreen 1920x1200","Intel Atom x5-Z8550 1.44GHz","4GB","64GB Flash Storage","Intel HD Graphics 400","Windows 10","0.69kg",646.27
"1084","HP","Spectre x360","Ultrabook",13.3,"IPS Panel 4K Ultra HD 3840x2160","Intel Core i7 7500U 2.7GHz","16GB","512GB SSD","Intel HD Graphics 620","Windows 10","1.3kg",2049
"1085","Dell","Vostro 3568","Notebook",15.6,"Full HD 1920x1080","Intel Core i5 7200U 2.5GHz","8GB","256GB SSD","Intel HD Graphics 620","Windows 10","2.18kg",750
"1086","HP","EliteBook 840","Notebook",14,"Full HD 1920x1080","Intel Core i5 6200U 2.3GHz","4GB","500GB HDD","Intel HD Graphics 520","Windows 7","1.54kg",1030.99
"1087","HP","ZBook 15u","Workstation",15.6,"Full HD 1920x1080","Intel Core i7 6500U 2.5GHz","8GB","256GB SSD","AMD FirePro W4190M","Windows 7","1.9kg",1495
"1088","Lenovo","ThinkPad T460","Notebook",14,"Full HD 1920x1080","Intel Core i5 6200U 2.3GHz","8GB","180GB SSD","Intel HD Graphics 520","Windows 7","1.7kg",1199
"1089","HP","Chromebook 13","Notebook",13.3,"Quad HD+ 3200x1800","Intel Pentium Dual Core 4405Y 1.5GHz","4GB","32GB Flash Storage","Intel HD Graphics 515","Chrome OS","1.29kg",615
"1090","Acer","Aspire ES1-523","Notebook",15.6,"1366x768","AMD A8-Series 7410 2.2GHz","4GB","500GB HDD","AMD Radeon R5","Windows 10","2.4kg",387
"1091","Dell","Inspiron 3552","Notebook",15.6,"1366x768","Intel Pentium Quad Core N3700 1.6GHz","4GB","500GB HDD","Intel HD Graphics","Linux","2.2kg",393.49
"1092","HP","250 G6","Notebook",15.6,"1366x768","Intel Core i3 6006U 2GHz","4GB","1TB HDD","Intel HD Graphics 520","No OS","1.86kg",345.99
"1093","Asus","Rog GL702VM-GC354T","Gaming",17.3,"IPS Panel Full HD 1920x1080","Intel Core i7 7700HQ 2.8GHz","8GB","256GB SSD +  1TB HDD","Nvidia GeForce GTX 1060","Windows 10","2.7kg",1599
"1094","Dell","Inspiron 5370","Ultrabook",13.3,"IPS Panel Full HD 1920x1080","Intel Core i5 8250U 1.6GHz","4GB","256GB SSD","AMD Radeon 530","Windows 10","1.4kg",818.35
"1095","HP","Elitebook 820","Netbook",12.5,"1366x768","Intel Core i5 6200U 2.3GHz","4GB","128GB SSD","Intel HD Graphics 520","Windows 7","2.4kg",1599
"1096","Acer","Aspire F5-573G","Notebook",15.6,"Full HD 1920x1080","Intel Core i5 7200U 2.5GHz","8GB","256GB SSD +  1TB HDD","Nvidia GeForce GTX 950M","Windows 10","2.4kg",799
"1097","Dell","Inspiron 5567","Notebook",15.6,"Full HD 1920x1080","Intel Core i5 7200U 2.5GHz","8GB","1TB HDD","AMD Radeon R7 M445","Windows 10","2.36kg",638.8
"1098","MSI","GS70 Stealth","Gaming",17.3,"Full HD 1920x1080","Intel Core i7 6700HQ 2.6GHz","8GB","256GB SSD","Nvidia GeForce GTX 965M","Windows 10","2.6kg",1599
"1099","HP","250 G5","Notebook",15.6,"1366x768","Intel Pentium Quad Core N3710 1.6GHz","4GB","1TB HDD","Intel HD Graphics 405","Windows 10","1.96kg",500
"1100","Asus","G752VY-GC162T (i7-6700HQ/16GB/1TB","Gaming",17.3,"IPS Panel Full HD 1920x1080","Intel Core i7 6700HQ 2.6GHz","16GB","128GB SSD +  1TB HDD","Nvidia GeForce GTX 980M","Windows 10","4.3kg",2299
"1101","Dell","Latitude E5270","Ultrabook",12.5,"1366x768","Intel Core i3 6100U 2.3GHz","4GB","500GB HDD","Intel HD Graphics 520","Windows 7","1.5kg",1135.15
"1102","Dell","Latitude E5270","Ultrabook",12.5,"1366x768","Intel Core i3 6100U 2.3GHz","4GB","128GB SSD","Intel HD Graphics 520","Windows 7","1.5kg",1166.97
"1103","Acer","Chromebook 15","Notebook",15.6,"1366x768","Intel Celeron Dual Core 3205U 1.5GHz","4GB","16GB SSD","Intel HD Graphics","Chrome OS","2.20kg",209
"1104","HP","ZBook 17","Workstation",17.3,"IPS Panel Full HD 1920x1080","Intel Core i7 6700HQ 2.6GHz","8GB","1TB HDD","AMD FirePro W6150M","Windows 7","3.0kg",2899
"1105","Lenovo","Legion Y520-15IKBN","Gaming",15.6,"Full HD 1920x1080","Intel Core i7 7700HQ 2.8GHz","16GB","512GB SSD","Nvidia GeForce GTX 1050 Ti","Windows 10","2.4kg",1199
"1106","Dell","Latitude E5270","Ultrabook",12.5,"1366x768","Intel Core i5 6200U 2.3GHz","8GB","256GB SSD","Intel HD Graphics 520","Windows 7","1.5kg",1413.1
"1107","MSI","GE72 Apache","Gaming",17.3,"Full HD 1920x1080","Intel Core i7 6700HQ 2.6GHz","8GB","128GB SSD +  1TB HDD","Nvidia GeForce GTX 960M","Windows 10","2.9kg",1511.19
"1108","Lenovo","Yoga 500-15ISK","2 in 1 Convertible",15.6,"IPS Panel Full HD / Touchscreen 1920x1080","Intel Core i5 6200U 2.3GHz","4GB","256GB SSD","Intel HD Graphics 520","Windows 10","2.1kg",867
"1109","HP","15-bw011nv (A6-9220/4GB/1TB/FHD/W10)","Notebook",15.6,"Full HD 1920x1080","AMD A6-Series 9220 2.5GHz","4GB","1TB HDD","AMD Radeon R4","Windows 10","2.1kg",398
"1110","Asus","Rog GL552VW-CN470T","Gaming",15.6,"IPS Panel Full HD 1920x1080","Intel Core i7 6700HQ 2.6GHz","16GB","128GB SSD +  1TB HDD","Nvidia GeForce GTX 960M","Windows 10","2.59kg",1339
"1111","HP","EliteBook 1030","Notebook",13.3,"Quad HD+ / Touchscreen 3200x1800","Intel Core M 6Y54 1.1GHz","8GB","256GB SSD","Intel HD Graphics 515","Windows 10","1.16kg",1699
"1112","Dell","Vostro 3559","Notebook",15.6,"1366x768","Intel Core i5 6200U 2.3GHz","4GB","500GB HDD","AMD Radeon R5 M315","Windows 7","2.24kg",769.15
"1113","Lenovo","V110-15ISK (i3-6006U/4GB/128GB/W10)","Notebook",15.6,"1366x768","Intel Core i3 6006U 2.0GHz","4GB","128GB SSD","Intel HD Graphics 520","Windows 10","2.1kg",429
"1114","HP","Spectre Pro","Ultrabook",13.3,"Full HD 1920x1080","Intel Core i7 6500U 2.5GHz","8GB","512GB SSD","Intel HD Graphics 520","Windows 10","1.16kg",1969
"1115","Lenovo","Yoga Book","2 in 1 Convertible",10.1,"IPS Panel Touchscreen 1920x1200","Intel Atom x5-Z8550 1.44GHz","4GB","64GB Flash Storage","Intel HD Graphics 400","Android","0.69kg",549
"1116","Dell","XPS 13","Ultrabook",13.3,"Full HD 1920x1080","Intel Core i7 7560U 2.4GHz","8GB","256GB SSD","Intel Iris Plus Graphics 640","Windows 10","1.23kg",1379
"1117","Lenovo","IdeaPad Y900-17ISK","Gaming",17.3,"IPS Panel Full HD 1920x1080","Intel Core i7 6820HK 2.7GHz","16GB","256GB SSD +  1.0TB Hybrid","Nvidia GeForce GTX 980M","Windows 10","4.6kg",2749.99
"1118","Razer","Blade Stealth","Ultrabook",12.5,"Touchscreen / 4K Ultra HD 3840x2160","Intel Core i7 6500U 2.5GHz","8GB","256GB SSD","Intel HD Graphics 520","Windows 10","1.25kg",1029
"1119","Toshiba","Portege X30-D-10K","Ultrabook",13.3,"Full HD 1920x1080","Intel Core i7 7500U 2.7GHz","16GB","512GB SSD","Intel HD Graphics 620","Windows 10","1.05kg",2226
"1120","Asus","Rog GL752VW-T4308T","Gaming",17.3,"Full HD 1920x1080","Intel Core i7 6700HQ 2.6GHz","8GB","128GB SSD +  1TB HDD","Nvidia GeForce GTX 960M","Windows 10","3.52kg",1312.49
"1121","Vero","V131 (X5-Z8350/4GB/32GB/FHD/W10)","Notebook",13.3,"Full HD 1920x1080","Intel Atom X5-Z8350 1.44GHz","4GB","32GB Flash Storage","Intel HD Graphics 400","Windows 10","1.35kg",196
"1122","HP","Spectre Pro","Notebook",13.3,"Full HD 1920x1080","Intel Core i5 6200U 2.3GHz","8GB","256GB SSD","Intel HD Graphics 520","Windows 10","1.16kg",1690
"1123","HP","EliteBook 1040","Notebook",14,"Full HD 1920x1080","Intel Core i5 6200U 2.3GHz","8GB","256GB SSD","Intel HD Graphics 520","Windows 7","1.43kg",1513
"1124","Dell","Latitude E5570","Notebook",15.6,"1366x768","Intel Core i5 6200U 2.3GHz","4GB","500GB HDD","Intel HD Graphics 520","Linux","2.09kg",523.63
"1125","Asus","VivoBook Max","Notebook",15.6,"1366x768","Intel Core i3 7100U 2.4GHz","4GB","1TB HDD","Intel HD Graphics 620","Windows 10","2kg",435
"1126","Lenovo","ThinkPad Yoga","2 in 1 Convertible",14,"IPS Panel Full HD / Touchscreen 1920x1080","Intel Core i7 6500U 2.5GHz","8GB","256GB SSD","Intel HD Graphics 520","Windows 10","1.8kg",1669
"1127","Lenovo","Yoga Book","2 in 1 Convertible",10.1,"IPS Panel Touchscreen 1920x1200","Intel Atom x5-Z8550 1.44GHz","4GB","64GB Flash Storage","Intel HD Graphics 400","Windows 10","0.69kg",479
"1128","HP","EliteBook 820","Ultrabook",12.5,"1366x768","Intel Core i5 6300U 2.4GHz","8GB","256GB SSD","Intel HD Graphics 520","Windows 7","1.26kg",1895
"1129","Lenovo","Legion Y520-15IKBN","Gaming",15.6,"IPS Panel Full HD 1920x1080","Intel Core i5 7300HQ 2.5GHz","8GB","128GB SSD +  1TB HDD","Nvidia GeForce GTX 1060","No OS","2.4kg",989
"1130","HP","Omen -","Gaming",17.3,"IPS Panel Full HD 1920x1080","Intel Core i5 6300HQ 2.3GHz","8GB","128GB SSD +  1TB HDD","Nvidia GeForce GTX 1060","Windows 10","3.35kg",1129
"1131","HP","15-bs078cl (i7-7500U/8GB/2TB/W10)","Notebook",15.6,"1366x768","Intel Core i7 7500U 2.7GHz","8GB","2TB HDD","Intel HD Graphics 620","Windows 10","2.04kg",629
"1132","Lenovo","ThinkPad P40","2 in 1 Convertible",14,"IPS Panel Full HD / Touchscreen 1920x1080","Intel Core i7 6600U 2.6GHz","8GB","512GB SSD","Nvidia Quadro M500M","Windows 7","1.8kg",2050.38
"1133","Asus","L403NA-GA013TS (N3350/4GB/32GB/W10)","Notebook",14,"1366x768","Intel Celeron Dual Core N3350 1.1GHz","4GB","32GB Flash Storage","Intel HD Graphics 500","Windows 10","1.5kg",278
"1134","HP","250 G6","Ultrabook",15.6,"Full HD 1920x1080","Intel Core i7 7500U 2.7GHz","8GB","256GB SSD","Intel HD Graphics 620","Windows 10","1.84kg",752
"1135","Acer","Aspire E5-576G","Notebook",15.6,"Full HD 1920x1080","Intel Core i5 7200U 2.5GHz","4GB","1TB HDD","Nvidia GeForce 940MX","Windows 10","2.23kg",616
"1136","Lenovo","IdeaPad 500-15ISK","Notebook",15.6,"Full HD 1920x1080","Intel Core i7 6500U 2.5GHz","16GB","1.0TB Hybrid","AMD Radeon R7 M360","Windows 10","2.5kg",1099
"1137","HP","ZBook 17","Workstation",17.3,"IPS Panel Full HD 1920x1080","Intel Core i7 6700HQ 2.6GHz","8GB","256GB SSD","Nvidia Quadro M3000M","Windows 7","3kg",3949.4
"1138","Dell","Inspiron 5567","Notebook",15.6,"1366x768","Intel Core i5 7200U 2.5GHz","8GB","1TB HDD","AMD Radeon R7 M445","Windows 10","2.5kg",784
"1139","MSI","GT72S Dominator","Gaming",17.3,"Full HD 1920x1080","Intel Core i7 6820HQ 2.7GHz","16GB","256GB SSD +  1TB HDD","Nvidia GeForce GTX 980M","Windows 10","3.78kg",2399
"1140","HP","EliteBook 850","Ultrabook",15.6,"Full HD 1920x1080","Intel Core i7 6500U 2.5GHz","8GB","256GB SSD","Intel HD Graphics 520","Windows 7","1.88kg",2171.72
"1141","Lenovo","ThinkPad X1","2 in 1 Convertible",14,"IPS Panel Touchscreen 2560x1440","Intel Core i7 6600U 2.6GHz","16GB","512GB SSD","Intel HD Graphics 520","Windows 10","2.8kg",2440
"1142","MSI","GP62M 7RDX","Gaming",15.6,"Full HD 1920x1080","Intel Core i7 7700HQ 2.8GHz","8GB","128GB SSD +  1TB HDD","Nvidia GeForce GTX 1050","Windows 10","2.4kg",1142.8
"1143","HP","Spectre Pro","2 in 1 Convertible",13.3,"Full HD / Touchscreen 1920x1080","Intel Core i5 6300U 2.4GHz","8GB","256GB SSD","Intel HD Graphics 520","Windows 10","1.48kg",1629
"1144","HP","ZBook 15","Workstation",15.6,"IPS Panel Full HD 1920x1080","Intel Core i7 6700HQ 2.6GHz","8GB","256GB SSD","Nvidia Quadro M1000M","Windows 7","2.59kg",2229
"1145","HP","Spectre Pro","2 in 1 Convertible",13.3,"Touchscreen 2560x1440","Intel Core i7 6600U 2.6GHz","8GB","256GB SSD","Intel HD Graphics 520","Windows 10","1.48kg",1799
"1146","HP","ZBook Studio","Workstation",15.6,"Full HD 1920x1080","Intel Core i7 6700HQ 2.6GHz","8GB","256GB SSD","Nvidia Quadro M1000M","Windows 7","2.0kg",1899
"1147","HP","EliteBook 820","Ultrabook",12.5,"Full HD 1920x1080","Intel Core i7 6500U 2.50GHz","8GB","256GB SSD","Intel HD Graphics 520","Windows 7","1.26kg",2296.95
"1148","Dell","Vostro 5568","Notebook",15.6,"Full HD 1920x1080","Intel Core i7 7500U 2.7GHz","8GB","256GB SSD","Nvidia GeForce 940MX","Windows 10","2.18kg",1009.9
"1149","HP","EliteBook 850","Notebook",15.6,"Full HD 1920x1080","Intel Core i5 6200U 2.3GHz","8GB","256GB SSD","Intel HD Graphics 520","Windows 7","1.88kg",1579
"1150","Lenovo","ThinkPad X1","2 in 1 Convertible",14,"IPS Panel Touchscreen 2560x1440","Intel Core i7 6500U 2.5GHz","8GB","256GB SSD","Intel HD Graphics 520","Windows 10","1.27kg",2339
"1151","Lenovo","V110-15ISK (i3-6006U/4GB/1TB/No","Notebook",15.6,"1366x768","Intel Core i3 6006U 2.0GHz","4GB","1TB HDD","Intel HD Graphics 520","No OS","1.9kg",339
"1152","HP","15-BA015wm (E2-7110/4GB/500GB/W10)","Notebook",15.6,"1366x768","AMD E-Series 7110 1.8GHz","4GB","500GB HDD","AMD Radeon R2 Graphics","Windows 10","1.86kg",297
"1153","Lenovo","B51-80 (i5-6200U/8GB/1TB/Radeon","Notebook",15.6,"Full HD 1920x1080","Intel Core i5 6200U 2.3GHz","8GB","1TB HDD","AMD Radeon R5 M330","No OS","2.32kg",599
"1154","Dell","Inspiron 7567","Gaming",15.6,"Full HD 1920x1080","Intel Core i7 7700HQ 2.8GHz","8GB","1TB HDD","Nvidia GeForce GTX 1050Ti","Windows 10","2.62kg",1199
"1155","Dell","XPS 15","Notebook",15.6,"IPS Panel Touchscreen / 4K Ultra HD 3840x2160","Intel Core i5 6300HQ 2.3GHz","8GB","256GB SSD","Nvidia GeForce 960M","Windows 10","2.04kg",2250.68
"1156","HP","15-bw002nv (A6-9220/4GB/256GB/Radeon","Notebook",15.6,"Full HD 1920x1080","AMD A6-Series A6-9220 2.5GHz","4GB","256GB SSD","AMD Radeon 520","Windows 10","1.91kg",478.89
"1157","MSI","GP72M 7REX","Gaming",17.3,"Full HD 1920x1080","Intel Core i7 7700HQ 2.8GHz","16GB","256GB SSD +  1TB HDD","Nvidia GeForce GTX 1050 Ti","Windows 10","2.7kg",1492.8
"1158","Lenovo","ThinkPad T460s","Ultrabook",14,"Full HD 1920x1080","Intel Core i7 6600U 2.6GHz","12GB","512GB SSD","Intel HD Graphics 520","Windows 7","1.4kg",2299
"1159","Lenovo","B51-80 (i5-6200U/8GB/1008GB/Radeon","Notebook",15.6,"Full HD 1920x1080","Intel Core i5 6200U 2.3GHz","8GB","1.0TB Hybrid","AMD Radeon R5 M330","Windows 10","2.5kg",788.49
"1160","HP","Spectre Pro","2 in 1 Convertible",13.3,"Touchscreen 2560x1440","Intel Core i7 6600U 2.6GHz","8GB","512GB SSD","Intel HD Graphics 520","Windows 10","1.48kg",2041
"1161","Lenovo","ThinkPad T460","Ultrabook",14,"Full HD 1920x1080","Intel Core i7 6600U 2.6GHz","8GB","256GB SSD","Intel HD Graphics 520","Windows 7","1.7kg",1499
"1162","MSI","GS40 Phantom","Gaming",14,"Full HD 1920x1080","Intel Core i7 6700HQ 2.6GHz","16GB","256GB SSD +  1TB HDD","Nvidia GeForce GTX 970M","Windows 10","1.7kg",1769
"1163","HP","Pavilion 15-cb003nv","Gaming",15.6,"IPS Panel Full HD 1920x1080","Intel Core i7 7700HQ 2.8GHz","8GB","1TB HDD","Nvidia GeForce GTX 1050","Windows 10","2.62kg",899
"1164","Lenovo","IdeaPad 310-15ISK","Notebook",15.6,"1366x768","Intel Core i3 6006U 2.0GHz","8GB","1TB HDD","Intel HD Graphics 520","Windows 10","2.2kg",459
"1165","HP","250 G4","Notebook",15.6,"1366x768","Intel Core i5 6200U 2.3GHz","4GB","500GB HDD","Intel HD Graphics 520","No OS","2.1kg",476.99
"1166","Dell","Inspiron 7567","Gaming",15.6,"4K Ultra HD 3840x2160","Intel Core i7 7700HQ 2.8GHz","8GB","128GB SSD +  1TB HDD","Nvidia GeForce GTX 1050 Ti","Windows 10","2.62kg",1498
"1167","Lenovo","ThinkPad T570","Notebook",15.6,"IPS Panel Full HD 1920x1080","Intel Core i5 7200U 2.5GHz","8GB","256GB SSD","Intel HD Graphics 620","Windows 10","1.95kg",1390
"1168","Lenovo","320-15ISK (i3-6006U/4GB/1TB/GeForce","Notebook",15.6,"Full HD 1920x1080","Intel Core i3 6006U 2GHz","4GB","1TB HDD","Nvidia GeForce 920MX ","Windows 10","2.2kg",468
"1169","HP","Stream 14-AX000nv","Notebook",14,"1366x768","Intel Celeron Dual Core N3060 1.6GHz","2GB","32GB Flash Storage","Intel HD Graphics 400","Windows 10","1.44kg",249
"1170","MSI","PL60 7RD","Gaming",15.6,"IPS Panel Full HD 1920x1080","Intel Core i7 7500U 2.7GHz","8GB","1TB HDD","Nvidia GeForce GTX 1050","Windows 10","2.2kg",839
"1171","HP","250 G5","Notebook",15.6,"Full HD 1920x1080","Intel Core i7 6500U 2.5GHz","8GB","256GB SSD","Intel HD Graphics 520","Windows 10","1.96kg",679
"1172","HP","ProBook 450","Notebook",15.6,"Full HD 1920x1080","Intel Core i7 8550U 1.8GHz","16GB","512GB SSD","Intel UHD Graphics 620","Windows 10","2.1kg",1159
"1173","Asus","X553SA-XX021T (N3050/4GB/500GB/W10)","Notebook",15.6,"1366x768","Intel Celeron Dual Core N3050 1.6GHz","4GB","500GB HDD","Intel HD Graphics","Windows 10","2.2kg",369
"1174","Lenovo","V110-15ISK (i5-6200U/4GB/500GB/No","Notebook",15.6,"1366x768","Intel Core i5 6200U 2.3GHz","4GB","500GB HDD","Intel HD Graphics 520","No OS","2.1kg",398
"1175","Lenovo","IdeaPad 510-15IKB","Notebook",15.6,"Full HD 1920x1080","Intel Core i7 7500U 2.7GHz","8GB","1TB HDD","Nvidia GeForce 940MX","No OS","2.2kg",709
